    Ps have (part) atoms    1.0000
sapsucker    Sapsuckers are woodpeckers    1.0000
sapwood    Sapwoods are wood    1.0000
sarcasm    Sarcasm isa wit    1.0000
sarcocystis specie    Sarcocystis species are protozoa that occasionally cause abortion in cattle    0.8165
sarcodine    Sarcodines use their pseudopods to trap food    0.8251
sarcoidosis    Sarcoidosis can also cause the heart to beat abnormally    0.7602
sarcolemmal folding    Sarcolemmal foldings form many secondary synaptic clefts    0.7077
sarcoma    Sarcoma is diseases    1.0000
sarcomere    Sarcomeres are segments    1.0000
sarcophagid fly    Sarcophagid flies are conspicuous and commonly found in dead bodies    0.8313
sarcoptic mange    Sarcoptic mange is a highly contagious disease caused by very small external parasites called mites    0.7822
sarcoptic mite    Sarcoptic mites burrow into the skin    0.8288
sardine    Sardines are fish    1.0000
sardonyx    A sardonyx is an onyx    1.0000
saree    A saree is a dress    1.0000
sari    Saris are dresses    1.0000
sarong    Sarongs are skirts    1.0000
sarsaparilla    Sarsaparillas are vines    1.0000
sartor    A sartor is a garment worker    1.0000
sash    Sashs are part of windows    1.0000
sash lock    A sash lock is a lock    1.0000
saskatoon    Saskatoons are cities    1.0000
sassaby    Sassabies have (part) cytoplasm    1.0000
sassafras oil    Sassafras oil is oil    1.0000
satchel    A satchel is luggage    1.0000
sateen    A sateen is cloth    1.0000
satellite    Satellites provide more information    1.0000
satellite dish    Satellite dishs are located in roofs    1.0000
satellite image    Satellite images show roads    1.0000
satellite receiver    Satellite receivers are receivers    1.0000
satellite television    Satellite television is television    1.0000
satellite track    Satellite tracks show similarity    1.0000
satiation    Satiation is a condition    1.0000
satiety    A satiety is a condition    1.0000
satin    Satin isa cloth    1.0000
satin bowerbird    Satin bowerbirds inhabit areas    1.0000
satin flower    A satin flower is a herb    1.0000
satin stitch    A satin stitch is a stitch    1.0000
satin weave    A satin weave is a weave    1.0000
satire    Satire is located in television    1.0000
satirist    A satirist is an entertainer    1.0000
satisfaction    Satisfaction is payments    1.0000
satisfactory solution    Satisfactory solutions address issues    1.0000
sativa bud    Sativa buds are long and thin and turn red as they mature in a warm environment    0.7012
satori    A satori is enlightenment    1.0000
satsuma    A satsuma is a citrus tree    1.0000
saturate air    Saturate air has humidity    1.0000
saturate hydrocarbon    Saturate hydrocarbons react with oxygen    1.0000
saturate zone    Saturate zones have water    1.0000
saturated bond    Saturated bonds are when each of the carbons has four single bonds as in the top figure    0.7388
saturated compound    Saturated compounds hold all the hydrogen they can ie single bonds    0.7539
saturated fat    Saturated fats are the ones that increase the risk of heart disease    0.8039
saturated hydrocarbon    Saturated hydrocarbons have only single bonds and consequently are straight chains    0.7868
saturation    Saturation is the measurement of color intensity    0.7069
satyr    A satyr is a god    1.0000
sauce    Sauces are part of dishs    1.0000
saucepan    Saucepans have (part) sections    1.0000
saucer    Saucers are discs    1.0000
saucer magnolia    A saucer magnolia is a magnolia    1.0000
saurel    A saurel is a scad    1.0000
sauropod dinosaur    Sauropod dinosaurs have necks    1.0000
sausage    Sausage isa meat    1.0000
saute    A saute is a dish    1.0000
savage    A savage is a person    1.0000
savanna    Savanna supports mammals    1.0000
savanna chimpanzee    Savanna chimpanzees adapt to environments    1.0000
savanna elephant    Savanna elephants eat grass    1.0000
savannah    Savannah isa grassland    1.0000
savannah elephant    Savannah elephants have brains    1.0000
savannah monitor    Savannah monitors are reptiles    1.0000
savant    A savant is a student    1.0000
save    Saves are prevention    1.0000
saver    Savers have (part) corpi    1.0000
savings account    A savings account is a bank account    1.0000
savings bank    A savings bank is a thrift institution    1.0000
savings bond    Savings bonds are government bonds    1.0000
savior    A savior is a helper    1.0000
savory    A savory is a herb    1.0000
savoury    Savoury is a herb    1.0000
savoy    A savoy is a cabbage    1.0000
savoy cabbage    A savoy cabbage is a cabbage    1.0000
sawdust    Sawdust is wood    1.0000
sawfish    Sawfishes range in color from light grey, to beige, to brown, and even olive green    0.7576
sawfly    Sawflies belong in the group of insects which includes ants, bees, and wasps    0.7957
sawmill    Sawmills are mills    1.0000
sawtooth    A sawtooth is a serration    1.0000
sawyer    Sawyers have (part) heads    1.0000
sax    A sax is a reed    1.0000
saxifrage    Saxifrages have (part) cytoplasm    1.0000
saxophone    Saxophones are used for fun    1.0000
saxophonist    Saxophonists are musicians    1.0000
say    Says are opportunity    1.0000
saying    Sayings are activities    1.0000
scab    Scabs are the body's way of bandaging itself    0.7645
scabbard    A scabbard is a sheath    1.0000
scabiosa    A scabiosa is a flower    1.0000
scad    A scad is a bony fish    1.0000
scaffold    Scaffolds have (part) sections    1.0000
scaffolding    A scaffolding is a system    1.0000
scalability    Scalability is quality    1.0000
scalar    A scalar is a variable    1.0000
scalar coupling    Scalar coupling leads to a transfer of magnetization between nuclei    0.7034
scalar product    A scalar product is real    1.0000
scald    Scalds are burns    1.0000
scalded milk    Scalded milk is milk    1.0000
scale    Scales are located in post offices    1.0000
scale factor    Scale factors are multipliers    1.0000
scale farm    Scale farms see significant growth    1.0000
scale field experiment    Scale field experiments involve instruments    1.0000
scale insect    Scale insects are insects    1.0000
scale model    Scale models are models    1.0000
scale test    Scale tests give results    1.0000
scale trial    Scale trials confirm effects    1.0000
scale wind turbine    Scale wind turbines convert energy    1.0000
scalene triangle    A scalene triangle is a triangle    1.0000
scaler    A scaler is a counter    1.0000
scaling    Scaling are measurements    1.0000
scallion    Scallions are rich in diallyl sulfide and help protect against cancer of the stomach    0.7096
scallop    Scallops lack a foot, and both oysters and giant clams lack a foot as adults    0.7695
scallop hammerhead    Scallop hammerheads have characteristics    1.0000
scallopini    A scallopini is a dish    1.0000
scallywag    Scallywags have (part) human bodies    1.0000
scalp    Scalps are skin    1.0000
scalpel    Scalpels are used for cuts    1.0000
scalper    Scalpers are speculators    1.0000
scaly skin    Scaly skin prevents dehydration    1.0000
scam    Scams are swindle    1.0000
scam artist    Scam artists are thiefs    1.0000
scammer    A scammer is a slicker    1.0000
scamper    A scamper is a rush    1.0000
scan    Scans are examinations    1.0000
scan electron microscope image    Scan electron microscope images reveal details    1.0000
scan rate    Scan rate is the speed at which a page of paper is scanned    0.7023
scandal    Scandal is albums    1.0000
scandinavian country    Scandinavian countries are european countries    1.0000
scandium    Scandium is a silvery-white metal that develops a yellow or pink tint when exposed to air    0.8079
scanner    Scanners are electronic devices    1.0000
scanning    Scanning are reproduction    1.0000
scansion    A scansion is cadence    1.0000
scape    Scapes are stalks    1.0000
scapegoat    A scapegoat is a victim    1.0000
scaphocephaly    A scaphocephaly is a congenital abnormality    1.0000
scapular    A scapular is a feather    1.0000
scar    Scars are diseases    1.0000
scar tissue    Scar tissue is mechanically inferior and adheres to bone or skin or to tendons and tendon sheaths    0.7641
scarab    A scarab is a dung beetle    1.0000
scarcity    Scarcity isa amount    1.0000
scarecrow    Scarecrow isa artifact    1.0000
scared    Scareds  trembling    1.0000
scarf    Scarfs are clothing    1.0000
scarlet fever    Scarlet fever is caused by toxins released by the bacteria    0.8326
scarlet flower    Scarlet flowers appear in springs    1.0000
scarlet macaw    Scarlet macaws prefer rainforests    1.0000
scarlet oak    Scarlet oak is oak    1.0000
scarlet snake    Scarlet snakes eat other reptiles and their eggs and, occasionally, rodents    0.7929
scarlet tanager    Scarlet tanagers eat insects    1.0000
scarred    Scarreds are albums    1.0000
scat    Scats are jazz    1.0000
scatology    A scatology is profanity    1.0000
scatter    Scatter is distribution    1.0000
scatter factor    Scatter factor protects epithelial and cancer cells against apoptosis    0.7681
scatter particle    Scatter particles have motion    1.0000
scatter pin    A scatter pin is a pin    1.0000
scattering    Scattering is spreading    1.0000
scenario    Scenarios involve capability    1.0000
scenario calculation    Scenario calculations include equations    1.0000
scene    Scenes are graphic art    1.0000
scenery    Scenery consists of dirt    1.0000
scent    Scent is carried by moisture in the air, so the greater the humidity, the stronger the scent    0.7405
scent flower    Scent flowers emerge in summer    1.0000
scent gland    Scent glands help species to recognize one another    0.7828
scent herb    Scent herbs reduce inflammation    1.0000
scent mark    Scent marks contain molecules called pheromones    0.7847
scented geranium    Scented geraniums have glands at the base of their leaf hairs, where the scent is formed    0.8091
scepter    A scepter is sovereignty    1.0000
sceptic    A sceptic is an intellectual    1.0000
